target_model,target_short,method,transfer_source_model,transfer_source_short,own_id_spearman,own_id_spearman_std,own_id_auroc_incorrect,own_id_auroc_incorrect_std,own_ood_spearman,own_ood_spearman_std,own_ood_auroc_incorrect,own_ood_auroc_incorrect_std,xfer_id_spearman,xfer_id_spearman_std,xfer_id_auroc_incorrect,xfer_id_auroc_incorrect_std,xfer_ood_spearman,xfer_ood_spearman_std,xfer_ood_auroc_incorrect,xfer_ood_auroc_incorrect_std
Llama-2-7b-chat,Llama-2,True SE,,,0.9999999999999998,,0.7602459274564399,,1.0,,0.7837319194249712,,,,,,,,,
Llama-2-7b-chat,Llama-2,SEP,,,0.5231100960697028,,0.6808654496281271,,0.2364007197666684,,0.6214282545035053,,,,,,,,,
Llama-2-7b-chat,Llama-2,Ridge,,,0.5956268551858268,,0.7087926624922833,,0.2686623622500009,,0.6308290442807702,,,,,,,,,
Llama-2-7b-chat,Llama-2,proxy:z,Mistral-7B-Instruct-v0.2,Mistral,0.5616037351031442,0.004977650015579546,0.6981106085612655,0.0058675900854995005,0.36817318059395804,0.02910486000872138,0.6645376697133729,0.00790364023925636,0.03201634426352455,0.04621557538537723,0.5042365371935881,0.034085984974087276,0.017436695253973684,0.03191229723161533,0.5075749844706717,0.026892912445068733
Llama-2-7b-chat,Llama-2,proxy:z_q,Mistral-7B-Instruct-v0.2,Mistral,0.5605306860233359,0.012028833435915563,0.6957185272909763,0.0042980886638826045,0.40175513967637955,0.02940313959761995,0.6706040908687549,0.013402851442712289,0.012991462911459811,0.040458112833127766,0.49342387629714546,0.021302392232977273,-0.014858446909243248,0.05458791259366965,0.47870818173750995,0.025303928610011836
Llama-2-7b-chat,Llama-2,proxy:z_q_resp,Mistral-7B-Instruct-v0.2,Mistral,0.5445286864026435,0.012591555822017932,0.6846711098232396,0.01408880321361402,0.39826691092566946,0.05357003217210898,0.6630823498092111,0.02120709338768685,0.04227653880261509,0.045735253152865,0.5241286919565428,0.015418232833768546,0.017801973848341573,0.05745603189032352,0.5058345904694294,0.035752505353395275
Llama-2-7b-chat,Llama-2,proxy:q_only,Mistral-7B-Instruct-v0.2,Mistral,0.48942463101441386,0.015522336161358157,0.6768472906403941,0.008639015147084043,0.25915496592017084,0.041813558158054286,0.598381622149259,0.014918014745064493,0.47825205042602137,0.021891478439498586,0.6830660300102049,0.008785316435223444,0.2855985351394842,0.02643207592375995,0.6051524092643537,0.030936101745271193
Llama-2-7b-chat,Llama-2,proxy:q_resp_only,Mistral-7B-Instruct-v0.2,Mistral,0.5584282660938618,0.03492660992043545,0.6939379049970814,0.017991471778380876,0.3992169579015253,0.06553074138476146,0.65564712929275,0.03204037890697272,0.523664530473577,0.018845102898267595,0.695846194549784,0.00941953518413242,0.4718980993971417,0.014691188156240171,0.674902387079599,0.014519009068987116
Mistral-7B-Instruct-v0.2,Mistral,True SE,,,1.0,,0.7465704414856957,,1.0,,0.7742563176074904,,,,,,,,,
Mistral-7B-Instruct-v0.2,Mistral,SEP,,,0.548499439048831,,0.713550103380612,,0.42542961644973404,,0.6692800654485955,,,,,,,,,
Mistral-7B-Instruct-v0.2,Mistral,Ridge,,,0.6322504818552885,,0.7235325879393676,,0.5343106435137366,,0.7284621852558859,,,,,,,,,
Mistral-7B-Instruct-v0.2,Mistral,proxy:z,Llama-2-7b-chat,Llama-2,0.6277928526687696,0.008009504918385297,0.7299856452398824,0.009052837969155058,0.5368235822741876,0.01773800870491939,0.7082685664939552,0.01458249339766596,0.013808430682883857,0.0809249650394386,0.5031128319263912,0.03621524488524134,-0.03618068942730667,0.03194432725150001,0.48118125624943187,0.017104908780482903
Mistral-7B-Instruct-v0.2,Mistral,proxy:z_q,Llama-2-7b-chat,Llama-2,0.6035219409494479,0.01924986418699882,0.7102340220984289,0.011114220927101676,0.5310196086294069,0.02015727338733677,0.7119000545404963,0.009145276175372748,0.07437200754047031,0.04869342296462286,0.5209768260615718,0.034904231466702115,0.0430861214715418,0.04387150488626759,0.5063494227797473,0.015019804025891904
